GRADATION,AGGREGATE SOURCE,BINDER TYPE,DESIGN AGGREGATE GRADATION,AV,COMPACTION,PERMANENT STRAIN (%),CTINDEX,Gmb,AV,VMA,VFB
19,18,822,5.89,5.638,50,2.302,41.04,2.273,5.638,16.81,66.459
19,18,822,5.89,4.135,75,1.946,24.845,2.309,4.135,15.485,73.316
19,18,822,5.89,3.565,90,1.886,23.48,2.323,3.565,14.982,76.204
19,18,822,5.89,2.854,110,1.131,20.98,2.34,2.854,14.355,80.127
19,18,822,6.48,6.86,35,3.54,45.175,2.233,6.86,18.481,62.88
19,18,822,6.48,5.66,50,2.656,33.315,2.261,5.66,17.431,67.531
19,18,822,6.48,4.169,75,2.379,29.345,2.297,4.169,16.126,74.161
19,18,822,6.48,3.56,90,1.401,26.63,2.312,3.56,15.593,77.172
19,18,822,6.48,2.898,110,1.862,28.43,2.328,2.898,15.013,80.71
19,18,822,5.27,6.803,35,2.255,31.085,2.269,6.803,16.535,58.863
19,18,822,5.27,5.406,50,1.451,24.375,2.303,5.406,15.285,64.632
19,18,822,5.27,4.011,75,1.355,19.26,2.337,4.011,14.035,71.424
19,18,822,5.27,3.477,90,1.179,16.485,2.35,3.477,13.557,74.354
19,18,822,5.27,3.117,110,1.069,13.175,2.359,3.117,13.234,76.501
19,18,822,5.32,6.913,35,2.64,25.48,2.252,6.913,17.662,60.862
19,18,822,5.32,5.573,50,1.529,27.52,2.284,5.573,16.477,66.182
19,18,822,5.32,3.313,75,1.218,29.84,2.339,3.313,14.478,77.117
19,18,822,5.32,3.535,90,1.315,18.675,2.333,3.535,14.674,75.911
19,18,822,5.32,2.414,110,1.153,15.5,2.361,2.414,13.683,82.359
19,18,822,6.5,6.986,35,3.967,41.145,2.224,6.986,18.99,63.213
19,18,822,6.5,5.629,50,3.052,39.38,2.256,5.629,17.808,68.393
19,18,822,6.5,4.016,75,2.493,35.375,2.295,4.016,16.404,75.524
19,18,822,6.5,3.626,90,2.188,31.74,2.304,3.626,16.064,77.43
19,18,822,6.5,2.924,110,2.052,18.95,2.321,2.924,14.873,84.827
19,18,1415,5.89,6.66,35,2.453,43,2.239,6.66,18.139,63.284
19,18,1415,5.89,5.664,50,2.204,28.4,2.263,5.664,17.266,67.195
19,18,1415,5.89,4.087,75,1.743,36.295,2.301,4.087,15.883,74.267
19,18,1415,5.89,3.564,90,1.792,33.6,2.313,3.564,15.424,76.892
19,18,1415,5.89,2.635,110,0.969,30.61,2.336,2.635,14.609,81.991
19,18,1415,6.48,6.991,35,3.332,51.125,2.221,6.991,19.005,63.216
19,18,1415,6.48,5.677,50,2.447,56.24,2.252,5.677,17.861,68.216
19,18,1415,6.48,4.112,75,1.18,42.74,2.29,4.112,16.497,75.078
19,18,1415,6.48,3.287,90,1.645,39.955,2.31,3.287,15.779,79.171
19,18,1415,6.48,3.549,110,1.39,24.86,2.303,3.549,15.01,83.997
19,18,1415,5.27,6.874,35,2.126,26.575,2.262,6.874,16.884,59.288
19,18,1415,5.27,5.867,50,1.466,33.88,2.286,5.867,15.985,63.296
19,18,1415,5.27,4.008,75,2.223,28.14,2.332,4.008,14.326,72.024
19,18,1415,5.27,3.476,90,1.076,25.54,2.345,3.476,13.851,74.906
19,18,1415,5.27,2.802,110,0.936,23.87,2.361,2.802,13.25,78.85
19,18,1415,5.32,7.487,35,2.54,37.575,2.238,7.487,18.231,58.931
19,18,1415,5.32,5.233,50,1.285,32.235,2.292,5.233,16.238,67.775
19,18,1415,5.32,4.064,75,1.345,19.63,2.321,4.064,15.205,73.279
19,18,1415,5.32,3.535,90,1.116,40.93,2.333,3.535,14.738,76.014
19,18,1415,5.32,3.579,110,0.986,25.34,2.332,3.579,14.777,75.789
19,18,1415,6.5,7.043,35,3.752,62.39,2.217,7.043,19.321,63.546
19,18,1415,6.5,5.651,50,2.863,48.19,2.25,5.651,18.112,68.801
19,18,1415,6.5,4.045,75,2.33,51.19,2.289,4.045,16.718,75.808
19,18,1415,6.5,3.656,90,2.028,41.39,2.298,3.656,16.381,77.68
